ticker,year,degree_centrality,betweenness_centrality,eigenvector_centrality,composite_score
EXR,2011,0.01935483870967742,0.003183912861332216,0.09180928512869135,0.1789416059793628
PBCT,2011,0.01935483870967742,0.05161290322580645,0.030461695971880833,0.17862545152842835
XRX,2011,0.012903225806451613,0.0,0.09540783759995759,0.12595643002721538
RF,2011,0.03225806451612903,0.03016338500209468,0.022272135783105388,0.09219261124403244
PGR,2011,0.01935483870967742,0.0,0.07869118104428793,0.08779289151394205
URI,2011,0.012903225806451613,0.0,0.08763384797289313,0.08463307651941043
HRL,2011,0.01935483870967742,0.004775869291998324,0.06718468782204909,0.05875642049033888
COG,2011,0.012903225806451613,0.0,0.08232001724414639,0.05638692284303156
KEY,2011,0.012903225806451613,0.004440720569752828,0.07605749525661132,0.05297071029176966
AIG,2011,0.012903225806451613,0.0,0.08108110986539148,0.04980139725942597
CHD,2011,0.012903225806451613,0.0,0.0810573841895327,0.04967528125750716
STX,2011,0.012903225806451613,0.0,0.07855997722377202,0.03640008591383224
PWR,2011,0.0064516129032258064,0.0,0.08595614934176862,0.0250197361845641
MSFT,2011,0.03225806451612903,0.01449518223711772,0.028717299589436474,0.021052225711501043
SEE,2011,0.0064516129032258064,0.0,0.08468846759080915,0.018281257791446886
WU,2011,0.012903225806451613,0.0,0.07480038082152007,0.016415607077372312
UDR,2011,0.0064516129032258064,0.0,0.08388560956586788,0.014013592464788319
ZION,2011,0.012903225806451613,0.0,0.07430784562270963,0.013797491140527862
MYL,2011,0.0064516129032258064,0.0,0.08330138148246886,0.01090807460617993
GPN,2011,0.0064516129032258064,0.0,0.08024829802857802,-0.005320869977786784
FOX,2011,0.01935483870967742,0.023963133640552997,0.030425151744257875,-0.0075692328007616605
HST,2011,0.0064516129032258064,0.0,0.07894901986784086,-0.01222730197947012
AAL,2011,0.01935483870967742,0.010222036028487641,0.04568289457028123,-0.018901881491388054
FTR,2011,0.0064516129032258064,0.0,0.07684180976735873,-0.02342837016642646
UAL,2011,0.012903225806451613,0.0,0.06684763210473446,-0.025857956735777454
PKI,2011,0.012903225806451613,0.0,0.06533102891729314,-0.03391959981123479
RAI,2011,0.0064516129032258064,0.0,0.07374908602200139,-0.0398680263484277
EA,2011,0.0064516129032258064,0.0,0.07289987207385341,-0.04438210082839698
CNP,2011,0.012903225806451613,0.0,0.061338897270969764,-0.05514014102425543
AKAM,2011,0.012903225806451613,0.0,0.06109789253344834,-0.056421223768562366
ATVI,2011,0.01935483870967742,0.015751989945538333,0.03131777472119757,-0.05806090502999239
LEN,2011,0.0064516129032258064,0.0,0.0696406389149375,-0.06170685304074325
HOLX,2011,0.01935483870967742,0.004524507750314202,0.04157423993768188,-0.07906917266726517
LB,2011,0.0064516129032258064,0.0,0.0646404101053724,-0.08828602700802234
MMC,2011,0.012903225806451613,0.019103477167993297,0.030226258534547145,-0.09201283223715913
FMC,2011,0.0064516129032258064,0.0,0.06143092256353208,-0.10534635183899906
YHOO,2011,0.025806451612903226,0.0011730205278592375,0.031162768880412056,-0.10626242715952156
DRI,2011,0.0064516129032258064,0.0,0.06120119907841898,-0.10656746805342325
ICE,2011,0.0064516129032258064,0.0,0.06111960734057537,-0.10700117640498695
JNPR,2011,0.0064516129032258064,0.0,0.06034995025134971,-0.11109235911857514
NVDA,2011,0.0064516129032258064,0.0,0.05950743068294276,-0.11557084901021535
DAL,2011,0.0064516129032258064,0.0,0.0591614162583284,-0.11741012035904243
ARNC,2011,0.0064516129032258064,0.0,0.05828572231920481,-0.12206495165506913
APD,2011,0.0064516129032258064,0.0,0.05815456560627862,-0.1227621271689522
FOXA,2011,0.01935483870967742,0.01323837452869711,0.02135955464865354,-0.12790386543207313
SYMC,2011,0.0064516129032258064,0.0,0.056266474243319826,-0.13279844964807566
IVZ,2011,0.0064516129032258064,0.0,0.05510231629335552,-0.13898663780024614
PFE,2011,0.01935483870967742,0.012651864264767491,0.019721827317470738,-0.14055481865119004
DLTR,2011,0.012903225806451613,0.0,0.044885292611794136,-0.14260078278298707
DFS,2011,0.012903225806451613,0.01709258483452032,0.021666061792480765,-0.151042645645908
